,rider,stage_results_id,rank,team,points,Type
1861,Kreuziger Roman,2,59,ORICA-Scott,0.0,Flat stage
1862,Kreuziger Roman,3,25,ORICA-Scott,0.0,Medium mountain stage
1863,Kreuziger Roman,4,46,ORICA-Scott,0.0,Flat stage
1864,Kreuziger Roman,5,34,ORICA-Scott,0.0,Medium mountain stage
1865,Kreuziger Roman,6,35,ORICA-Scott,0.0,Flat stage
1866,Kreuziger Roman,7,32,ORICA-Scott,0.0,Flat stage
1867,Kreuziger Roman,8,5,ORICA-Scott,32.0,Medium mountain stage
1868,Kreuziger Roman,9,34,ORICA-Scott,0.0,High mountain stage
1869,Kreuziger Roman,10,74,ORICA-Scott,0.0,Flat stage
1870,Kreuziger Roman,11,56,ORICA-Scott,0.0,Flat stage
1871,Kreuziger Roman,12,33,ORICA-Scott,0.0,High mountain stage
1872,Kreuziger Roman,13,30,ORICA-Scott,0.0,High mountain stage
1873,Kreuziger Roman,14,80,ORICA-Scott,0.0,Medium mountain stage
1874,Kreuziger Roman,15,41,ORICA-Scott,0.0,Medium mountain stage
1875,Kreuziger Roman,16,58,ORICA-Scott,0.0,Medium mountain stage
1876,Kreuziger Roman,17,29,ORICA-Scott,0.0,High mountain stage
1877,Kreuziger Roman,18,28,ORICA-Scott,0.0,High mountain stage
1878,Kreuziger Roman,19,35,ORICA-Scott,0.0,Flat stage
1879,Kreuziger Roman,20,65,ORICA-Scott,0.0,Individual time trial
1880,Kreuziger Roman,21,115,ORICA-Scott,0.0,Flat stage
1881,Kristoff Alexander,1,27,Team Katusha Alpecin,0.0,Individual time trial
1882,Kristoff Alexander,2,15,Team Katusha Alpecin,1.0,Flat stage
1883,Kristoff Alexander,3,82,Team Katusha Alpecin,0.0,Medium mountain stage
1884,Kristoff Alexander,4,2,Team Katusha Alpecin,70.0,Flat stage
1885,Kristoff Alexander,5,189,Team Katusha Alpecin,0.0,Medium mountain stage
1886,Kristoff Alexander,6,4,Team Katusha Alpecin,40.0,Flat stage
1887,Kristoff Alexander,7,4,Team Katusha Alpecin,40.0,Flat stage
1888,Kristoff Alexander,8,185,Team Katusha Alpecin,0.0,Medium mountain stage
1889,Kristoff Alexander,9,174,Team Katusha Alpecin,0.0,High mountain stage
1890,Kristoff Alexander,10,5,Team Katusha Alpecin,32.0,Flat stage
1891,Kristoff Alexander,11,12,Team Katusha Alpecin,6.0,Flat stage
1892,Kristoff Alexander,12,147,Team Katusha Alpecin,0.0,High mountain stage
1893,Kristoff Alexander,13,112,Team Katusha Alpecin,0.0,High mountain stage
1894,Kristoff Alexander,14,42,Team Katusha Alpecin,0.0,Medium mountain stage
1895,Kristoff Alexander,15,135,Team Katusha Alpecin,0.0,Medium mountain stage
1896,Kristoff Alexander,16,42,Team Katusha Alpecin,0.0,Medium mountain stage
1897,Kristoff Alexander,17,113,Team Katusha Alpecin,0.0,High mountain stage
1898,Kristoff Alexander,18,162,Team Katusha Alpecin,0.0,High mountain stage
1899,Kristoff Alexander,19,154,Team Katusha Alpecin,0.0,Flat stage
1900,Kristoff Alexander,20,164,Team Katusha Alpecin,0.0,Individual time trial
1901,Kristoff Alexander,21,5,Team Katusha Alpecin,32.0,Flat stage
1902,Kwiatkowski Michał,1,8,Team Sky,18.0,Individual time trial
1903,Kwiatkowski Michał,2,32,Team Sky,0.0,Flat stage
1904,Kwiatkowski Michał,3,42,Team Sky,0.0,Medium mountain stage
1905,Kwiatkowski Michał,4,151,Team Sky,0.0,Flat stage
1906,Kwiatkowski Michał,5,29,Team Sky,0.0,Medium mountain stage
1907,Kwiatkowski Michał,6,105,Team Sky,0.0,Flat stage
1908,Kwiatkowski Michał,7,112,Team Sky,0.0,Flat stage
1909,Kwiatkowski Michał,8,89,Team Sky,0.0,Medium mountain stage
1910,Kwiatkowski Michał,9,136,Team Sky,0.0,High mountain stage
1911,Kwiatkowski Michał,10,33,Team Sky,0.0,Flat stage
1912,Kwiatkowski Michał,11,25,Team Sky,0.0,Flat stage
1913,Kwiatkowski Michał,12,60,Team Sky,0.0,High mountain stage
1914,Kwiatkowski Michał,13,7,Team Sky,22.0,High mountain stage
1915,Kwiatkowski Michał,14,85,Team Sky,0.0,Medium mountain stage
1916,Kwiatkowski Michał,15,169,Team Sky,0.0,Medium mountain stage
1917,Kwiatkowski Michał,16,103,Team Sky,0.0,Medium mountain stage
1918,Kwiatkowski Michał,17,47,Team Sky,0.0,High mountain stage
1919,Kwiatkowski Michał,18,62,Team Sky,0.0,High mountain stage
1920,Kwiatkowski Michał,19,25,Team Sky,0.0,Flat stage
1921,Kwiatkowski Michał,20,2,Team Sky,70.0,Individual time trial
1922,Kwiatkowski Michał,21,66,Team Sky,0.0,Flat stage
1923,Küng Stefan,1,2,BMC Racing Team,70.0,Individual time trial
1924,Küng Stefan,2,97,BMC Racing Team,0.0,Flat stage
1925,Küng Stefan,3,57,BMC Racing Team,0.0,Medium mountain stage
1926,Küng Stefan,4,39,BMC Racing Team,0.0,Flat stage
1927,Küng Stefan,5,175,BMC Racing Team,0.0,Medium mountain stage
1928,Küng Stefan,6,77,BMC Racing Team,0.0,Flat stage
1929,Küng Stefan,7,75,BMC Racing Team,0.0,Flat stage
1930,Küng Stefan,8,107,BMC Racing Team,0.0,Medium mountain stage
1931,Küng Stefan,9,116,BMC Racing Team,0.0,High mountain stage
1932,Küng Stefan,10,29,BMC Racing Team,0.0,Flat stage
1933,Küng Stefan,11,150,BMC Racing Team,0.0,Flat stage
1934,Küng Stefan,12,50,BMC Racing Team,0.0,High mountain stage
1935,Küng Stefan,13,114,BMC Racing Team,0.0,High mountain stage
1936,Küng Stefan,14,94,BMC Racing Team,0.0,Medium mountain stage
1937,Küng Stefan,15,73,BMC Racing Team,0.0,Medium mountain stage
1938,Küng Stefan,16,22,BMC Racing Team,0.0,Medium mountain stage
1939,Küng Stefan,17,108,BMC Racing Team,0.0,High mountain stage
1940,Küng Stefan,18,113,BMC Racing Team,0.0,High mountain stage
1941,Küng Stefan,19,123,BMC Racing Team,0.0,Flat stage
1942,Küng Stefan,20,9,BMC Racing Team,14.0,Individual time trial
1943,Küng Stefan,21,25,BMC Racing Team,0.0,Flat stage
1944,Laengen Vegard Stake ,1,112,UAE Team Emirates,0.0,Individual time trial
1945,Laengen Vegard Stake ,2,118,UAE Team Emirates,0.0,Flat stage
1946,Laengen Vegard Stake ,3,124,UAE Team Emirates,0.0,Medium mountain stage
1947,Laengen Vegard Stake ,4,86,UAE Team Emirates,0.0,Flat stage
1948,Laengen Vegard Stake ,5,93,UAE Team Emirates,0.0,Medium mountain stage
1949,Laengen Vegard Stake ,6,160,UAE Team Emirates,0.0,Flat stage
1950,Laengen Vegard Stake ,7,131,UAE Team Emirates,0.0,Flat stage
1951,Laengen Vegard Stake ,8,116,UAE Team Emirates,0.0,Medium mountain stage
1952,Laengen Vegard Stake ,9,55,UAE Team Emirates,0.0,High mountain stage
1953,Laengen Vegard Stake ,10,178,UAE Team Emirates,0.0,Flat stage
1954,Laengen Vegard Stake ,11,169,UAE Team Emirates,0.0,Flat stage
1955,Laengen Vegard Stake ,12,124,UAE Team Emirates,0.0,High mountain stage
1956,Laengen Vegard Stake ,13,137,UAE Team Emirates,0.0,High mountain stage
1957,Laengen Vegard Stake ,14,139,UAE Team Emirates,0.0,Medium mountain stage
1958,Laengen Vegard Stake ,15,152,UAE Team Emirates,0.0,Medium mountain stage
1959,Laengen Vegard Stake ,16,147,UAE Team Emirates,0.0,Medium mountain stage
1960,Laengen Vegard Stake ,17,120,UAE Team Emirates,0.0,High mountain stage
1961,Laengen Vegard Stake ,18,142,UAE Team Emirates,0.0,High mountain stage
1962,Laengen Vegard Stake ,19,85,UAE Team Emirates,0.0,Flat stage
1963,Laengen Vegard Stake ,20,134,UAE Team Emirates,0.0,Individual time trial
1964,Laengen Vegard Stake ,21,86,UAE Team Emirates,0.0,Flat stage
1965,Lammertink Maurits,1,94,Team Katusha Alpecin,0.0,Individual time trial
1966,Lammertink Maurits,2,185,Team Katusha Alpecin,0.0,Flat stage
1967,Lammertink Maurits,3,96,Team Katusha Alpecin,0.0,Medium mountain stage
1968,Lammertink Maurits,4,115,Team Katusha Alpecin,0.0,Flat stage
1969,Lammertink Maurits,5,44,Team Katusha Alpecin,0.0,Medium mountain stage
1970,Lammertink Maurits,6,96,Team Katusha Alpecin,0.0,Flat stage
1971,Lammertink Maurits,7,113,Team Katusha Alpecin,0.0,Flat stage
1972,Lammertink Maurits,8,96,Team Katusha Alpecin,0.0,Medium mountain stage
1973,Lammertink Maurits,9,105,Team Katusha Alpecin,0.0,High mountain stage
1974,Lammertink Maurits,10,119,Team Katusha Alpecin,0.0,Flat stage
1975,Lammertink Maurits,11,93,Team Katusha Alpecin,0.0,Flat stage
1976,Lammertink Maurits,12,85,Team Katusha Alpecin,0.0,High mountain stage
1977,Lammertink Maurits,13,64,Team Katusha Alpecin,0.0,High mountain stage
1978,Lammertink Maurits,14,96,Team Katusha Alpecin,0.0,Medium mountain stage
1979,Lammertink Maurits,15,17,Team Katusha Alpecin,0.0,Medium mountain stage
1980,Lammertink Maurits,16,131,Team Katusha Alpecin,0.0,Medium mountain stage
1981,Lammertink Maurits,17,128,Team Katusha Alpecin,0.0,High mountain stage
1982,Lammertink Maurits,18,45,Team Katusha Alpecin,0.0,High mountain stage
1983,Lammertink Maurits,19,133,Team Katusha Alpecin,0.0,Flat stage
1984,Lammertink Maurits,20,125,Team Katusha Alpecin,0.0,Individual time trial
1985,Lammertink Maurits,21,112,Team Katusha Alpecin,0.0,Flat stage
1986,Landa Mikel,1,102,Team Sky,0.0,Individual time trial
1987,Landa Mikel,2,98,Team Sky,0.0,Flat stage
1988,Landa Mikel,3,26,Team Sky,0.0,Medium mountain stage
1989,Landa Mikel,4,152,Team Sky,0.0,Flat stage
1990,Landa Mikel,5,15,Team Sky,1.0,Medium mountain stage
1991,Landa Mikel,6,69,Team Sky,0.0,Flat stage
1992,Landa Mikel,7,72,Team Sky,0.0,Flat stage
1993,Landa Mikel,8,15,Team Sky,1.0,Medium mountain stage
1994,Landa Mikel,9,8,Team Sky,18.0,High mountain stage
1995,Landa Mikel,10,45,Team Sky,0.0,Flat stage
1996,Landa Mikel,11,57,Team Sky,0.0,Flat stage
1997,Landa Mikel,12,4,Team Sky,40.0,High mountain stage
1998,Landa Mikel,13,4,Team Sky,40.0,High mountain stage
1999,Landa Mikel,14,20,Team Sky,0.0,Medium mountain stage
2000,Landa Mikel,15,35,Team Sky,0.0,Medium mountain stage
2001,Landa Mikel,16,15,Team Sky,1.0,Medium mountain stage
2002,Landa Mikel,17,6,Team Sky,26.0,High mountain stage
2003,Landa Mikel,18,6,Team Sky,26.0,High mountain stage
2004,Landa Mikel,19,28,Team Sky,0.0,Flat stage
2005,Landa Mikel,20,15,Team Sky,1.0,Individual time trial
2006,Landa Mikel,21,48,Team Sky,0.0,Flat stage
2007,Laporte Christophe,1,120,"Cofidis, Solutions Crédits",0.0,Individual time trial
2008,Laporte Christophe,2,36,"Cofidis, Solutions Crédits",0.0,Flat stage
2009,Laporte Christophe,3,165,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2010,Laporte Christophe,4,101,"Cofidis, Solutions Crédits",0.0,Flat stage
2011,Laporte Christophe,5,176,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2012,Laporte Christophe,6,82,"Cofidis, Solutions Crédits",0.0,Flat stage
2013,Laporte Christophe,7,89,"Cofidis, Solutions Crédits",0.0,Flat stage
2014,Laporte Christophe,8,172,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2015,Laporte Christophe,9,177,"Cofidis, Solutions Crédits",0.0,High mountain stage
2016,Laporte Christophe,10,22,"Cofidis, Solutions Crédits",0.0,Flat stage
2017,Laporte Christophe,11,24,"Cofidis, Solutions Crédits",0.0,Flat stage
2018,Laporte Christophe,12,167,"Cofidis, Solutions Crédits",0.0,High mountain stage
2019,Laporte Christophe,13,113,"Cofidis, Solutions Crédits",0.0,High mountain stage
2020,Laporte Christophe,14,88,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2021,Laporte Christophe,15,167,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2022,Laporte Christophe,16,5,"Cofidis, Solutions Crédits",32.0,Medium mountain stage
2023,Laporte Christophe,17,157,"Cofidis, Solutions Crédits",0.0,High mountain stage
2024,Laporte Christophe,18,169,"Cofidis, Solutions Crédits",0.0,High mountain stage
2025,Laporte Christophe,19,138,"Cofidis, Solutions Crédits",0.0,Flat stage
2026,Laporte Christophe,20,100,"Cofidis, Solutions Crédits",0.0,Individual time trial
2027,Laporte Christophe,21,119,"Cofidis, Solutions Crédits",0.0,Flat stage
2028,Latour Pierre,1,17,AG2R La Mondiale,0.0,Individual time trial
2029,Latour Pierre,2,77,AG2R La Mondiale,0.0,Flat stage
2030,Latour Pierre,3,21,AG2R La Mondiale,0.0,Medium mountain stage
2031,Latour Pierre,4,32,AG2R La Mondiale,0.0,Flat stage
2032,Latour Pierre,5,17,AG2R La Mondiale,0.0,Medium mountain stage
2033,Latour Pierre,6,36,AG2R La Mondiale,0.0,Flat stage
2034,Latour Pierre,7,46,AG2R La Mondiale,0.0,Flat stage
2035,Latour Pierre,8,23,AG2R La Mondiale,0.0,Medium mountain stage
2036,Latour Pierre,9,15,AG2R La Mondiale,1.0,High mountain stage
2037,Latour Pierre,10,58,AG2R La Mondiale,0.0,Flat stage
2038,Latour Pierre,11,51,AG2R La Mondiale,0.0,Flat stage
2039,Latour Pierre,12,15,AG2R La Mondiale,1.0,High mountain stage
2040,Latour Pierre,13,15,AG2R La Mondiale,1.0,High mountain stage
2041,Latour Pierre,14,39,AG2R La Mondiale,0.0,Medium mountain stage
2042,Latour Pierre,15,38,AG2R La Mondiale,0.0,Medium mountain stage
2043,Latour Pierre,16,30,AG2R La Mondiale,0.0,Medium mountain stage
2044,Latour Pierre,17,83,AG2R La Mondiale,0.0,High mountain stage
2045,Latour Pierre,18,101,AG2R La Mondiale,0.0,High mountain stage
2046,Latour Pierre,19,39,AG2R La Mondiale,0.0,Flat stage
2047,Latour Pierre,20,62,AG2R La Mondiale,0.0,Individual time trial
2048,Latour Pierre,21,167,AG2R La Mondiale,0.0,Flat stage
2049,Le Gac Olivier,1,135,FDJ,0.0,Individual time trial
2050,Le Gac Olivier,2,176,FDJ,0.0,Flat stage
2051,Le Gac Olivier,3,195,FDJ,0.0,Medium mountain stage
2052,Le Gac Olivier,4,194,FDJ,0.0,Flat stage
2053,Le Gac Olivier,5,190,FDJ,0.0,Medium mountain stage
2054,Le Gac Olivier,6,193,FDJ,0.0,Flat stage
2055,Le Gac Olivier,7,156,FDJ,0.0,Flat stage
2056,Le Gac Olivier,8,170,FDJ,0.0,Medium mountain stage
2057,Le Gac Olivier,9,108,FDJ,0.0,High mountain stage
2058,Le Gac Olivier,10,103,FDJ,0.0,Flat stage
2059,Le Gac Olivier,11,114,FDJ,0.0,Flat stage
2060,Le Gac Olivier,12,84,FDJ,0.0,High mountain stage
2061,Le Gac Olivier,13,151,FDJ,0.0,High mountain stage
2062,Le Gac Olivier,14,76,FDJ,0.0,Medium mountain stage
2063,Le Gac Olivier,15,115,FDJ,0.0,Medium mountain stage
2064,Le Gac Olivier,16,152,FDJ,0.0,Medium mountain stage
2065,Le Gac Olivier,17,144,FDJ,0.0,High mountain stage
2066,Le Gac Olivier,18,131,FDJ,0.0,High mountain stage
2067,Le Gac Olivier,19,134,FDJ,0.0,Flat stage
2068,Le Gac Olivier,20,130,FDJ,0.0,Individual time trial
2069,Le Gac Olivier,21,16,FDJ,0.0,Flat stage
2070,Leezer Tom,1,139,Team LottoNL-Jumbo,0.0,Individual time trial
2071,Leezer Tom,2,195,Team LottoNL-Jumbo,0.0,Flat stage
2072,Leezer Tom,3,184,Team LottoNL-Jumbo,0.0,Medium mountain stage
2073,Leezer Tom,4,166,Team LottoNL-Jumbo,0.0,Flat stage
2074,Leezer Tom,5,159,Team LottoNL-Jumbo,0.0,Medium mountain stage
2075,Leezer Tom,6,154,Team LottoNL-Jumbo,0.0,Flat stage
2076,Leezer Tom,7,151,Team LottoNL-Jumbo,0.0,Flat stage
2077,Leezer Tom,8,158,Team LottoNL-Jumbo,0.0,Medium mountain stage
2078,Leezer Tom,9,161,Team LottoNL-Jumbo,0.0,High mountain stage
2079,Leezer Tom,10,140,Team LottoNL-Jumbo,0.0,Flat stage
2080,Leezer Tom,11,147,Team LottoNL-Jumbo,0.0,Flat stage
2081,Leezer Tom,12,162,Team LottoNL-Jumbo,0.0,High mountain stage
2082,Leezer Tom,13,149,Team LottoNL-Jumbo,0.0,High mountain stage
2083,Leezer Tom,14,110,Team LottoNL-Jumbo,0.0,Medium mountain stage
2084,Leezer Tom,15,110,Team LottoNL-Jumbo,0.0,Medium mountain stage
2085,Leezer Tom,16,166,Team LottoNL-Jumbo,0.0,Medium mountain stage
2086,Leezer Tom,17,155,Team LottoNL-Jumbo,0.0,High mountain stage
2087,Leezer Tom,18,145,Team LottoNL-Jumbo,0.0,High mountain stage
2088,Leezer Tom,19,157,Team LottoNL-Jumbo,0.0,Flat stage
2089,Leezer Tom,20,161,Team LottoNL-Jumbo,0.0,Individual time trial
2090,Leezer Tom,21,149,Team LottoNL-Jumbo,0.0,Flat stage
2091,Lemoine Cyril,1,89,"Cofidis, Solutions Crédits",0.0,Individual time trial
2092,Lemoine Cyril,2,184,"Cofidis, Solutions Crédits",0.0,Flat stage
2093,Lemoine Cyril,3,172,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2094,Lemoine Cyril,4,161,"Cofidis, Solutions Crédits",0.0,Flat stage
2095,Lemoine Cyril,5,126,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2096,Lemoine Cyril,6,120,"Cofidis, Solutions Crédits",0.0,Flat stage
2097,Lemoine Cyril,7,136,"Cofidis, Solutions Crédits",0.0,Flat stage
2098,Lemoine Cyril,8,109,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2099,Lemoine Cyril,9,150,"Cofidis, Solutions Crédits",0.0,High mountain stage
2100,Lemoine Cyril,10,134,"Cofidis, Solutions Crédits",0.0,Flat stage
2101,Lemoine Cyril,11,145,"Cofidis, Solutions Crédits",0.0,Flat stage
2102,Lemoine Cyril,12,168,"Cofidis, Solutions Crédits",0.0,High mountain stage
2103,Lemoine Cyril,13,154,"Cofidis, Solutions Crédits",0.0,High mountain stage
2104,Lemoine Cyril,14,95,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2105,Lemoine Cyril,15,79,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2106,Lemoine Cyril,16,104,"Cofidis, Solutions Crédits",0.0,Medium mountain stage
2107,Lemoine Cyril,17,160,"Cofidis, Solutions Crédits",0.0,High mountain stage
2108,Lemoine Cyril,18,168,"Cofidis, Solutions Crédits",0.0,High mountain stage
2109,Lemoine Cyril,19,136,"Cofidis, Solutions Crédits",0.0,Flat stage
2110,Lemoine Cyril,20,94,"Cofidis, Solutions Crédits",0.0,Individual time trial
2111,Lemoine Cyril,21,120,"Cofidis, Solutions Crédits",0.0,Flat stage
2112,Lutsenko Alexey,1,20,Astana Pro Team,0.0,Individual time trial
2113,Lutsenko Alexey,2,20,Astana Pro Team,0.0,Flat stage
2114,Lutsenko Alexey,3,33,Astana Pro Team,0.0,Medium mountain stage
2115,Lutsenko Alexey,4,21,Astana Pro Team,0.0,Flat stage
2116,Lutsenko Alexey,5,61,Astana Pro Team,0.0,Medium mountain stage
2117,Lutsenko Alexey,6,21,Astana Pro Team,0.0,Flat stage
2118,Lutsenko Alexey,7,50,Astana Pro Team,0.0,Flat stage
2119,Lutsenko Alexey,8,44,Astana Pro Team,0.0,Medium mountain stage
2120,Lutsenko Alexey,9,181,Astana Pro Team,0.0,High mountain stage
2121,Lutsenko Alexey,10,177,Astana Pro Team,0.0,Flat stage
2122,Lutsenko Alexey,11,167,Astana Pro Team,0.0,Flat stage
2123,Lutsenko Alexey,12,90,Astana Pro Team,0.0,High mountain stage
2124,Lutsenko Alexey,13,156,Astana Pro Team,0.0,High mountain stage
2125,Lutsenko Alexey,14,109,Astana Pro Team,0.0,Medium mountain stage
2126,Lutsenko Alexey,15,85,Astana Pro Team,0.0,Medium mountain stage
2127,Lutsenko Alexey,16,115,Astana Pro Team,0.0,Medium mountain stage
2128,Lutsenko Alexey,17,135,Astana Pro Team,0.0,High mountain stage
2129,Lutsenko Alexey,18,17,Astana Pro Team,0.0,High mountain stage
2130,Lutsenko Alexey,19,88,Astana Pro Team,0.0,Flat stage
2131,Lutsenko Alexey,20,35,Astana Pro Team,0.0,Individual time trial
2132,Lutsenko Alexey,21,143,Astana Pro Team,0.0,Flat stage
2133,Machado Tiago,1,98,Team Katusha Alpecin,0.0,Individual time trial
2134,Machado Tiago,2,126,Team Katusha Alpecin,0.0,Flat stage
2135,Machado Tiago,3,54,Team Katusha Alpecin,0.0,Medium mountain stage
2136,Machado Tiago,4,68,Team Katusha Alpecin,0.0,Flat stage
2137,Machado Tiago,5,64,Team Katusha Alpecin,0.0,Medium mountain stage
2138,Machado Tiago,6,122,Team Katusha Alpecin,0.0,Flat stage
2139,Machado Tiago,7,99,Team Katusha Alpecin,0.0,Flat stage
2140,Machado Tiago,8,60,Team Katusha Alpecin,0.0,Medium mountain stage
2141,Machado Tiago,9,90,Team Katusha Alpecin,0.0,High mountain stage
2142,Machado Tiago,10,117,Team Katusha Alpecin,0.0,Flat stage
2143,Machado Tiago,11,119,Team Katusha Alpecin,0.0,Flat stage
2144,Machado Tiago,12,77,Team Katusha Alpecin,0.0,High mountain stage
2145,Machado Tiago,13,109,Team Katusha Alpecin,0.0,High mountain stage
2146,Machado Tiago,14,71,Team Katusha Alpecin,0.0,Medium mountain stage
2147,Machado Tiago,15,164,Team Katusha Alpecin,0.0,Medium mountain stage
2148,Machado Tiago,16,90,Team Katusha Alpecin,0.0,Medium mountain stage
2149,Machado Tiago,17,124,Team Katusha Alpecin,0.0,High mountain stage
2150,Machado Tiago,18,76,Team Katusha Alpecin,0.0,High mountain stage
2151,Machado Tiago,19,135,Team Katusha Alpecin,0.0,Flat stage
2152,Machado Tiago,20,69,Team Katusha Alpecin,0.0,Individual time trial
2153,Machado Tiago,21,113,Team Katusha Alpecin,0.0,Flat stage
2154,Majka Rafał,1,54,BORA - hansgrohe,0.0,Individual time trial
2155,Majka Rafał,2,58,BORA - hansgrohe,0.0,Flat stage
2156,Majka Rafał,3,10,BORA - hansgrohe,10.0,Medium mountain stage
2157,Majka Rafał,4,29,BORA - hansgrohe,0.0,Flat stage
2158,Majka Rafał,5,12,BORA - hansgrohe,6.0,Medium mountain stage
2159,Majka Rafał,6,20,BORA - hansgrohe,0.0,Flat stage
2160,Majka Rafał,7,69,BORA - hansgrohe,0.0,Flat stage
2161,Majka Rafał,8,8,BORA - hansgrohe,18.0,Medium mountain stage
2162,Majka Rafał,9,137,BORA - hansgrohe,0.0,High mountain stage
2163,Majka Rafał,10,DNS,BORA - hansgrohe,0.0,Flat stage
2164,Marcato Marco,1,143,UAE Team Emirates,0.0,Individual time trial
2165,Marcato Marco,2,48,UAE Team Emirates,0.0,Flat stage
2166,Marcato Marco,3,81,UAE Team Emirates,0.0,Medium mountain stage
2167,Marcato Marco,4,80,UAE Team Emirates,0.0,Flat stage
2168,Marcato Marco,5,78,UAE Team Emirates,0.0,Medium mountain stage
2169,Marcato Marco,6,45,UAE Team Emirates,0.0,Flat stage
2170,Marcato Marco,7,76,UAE Team Emirates,0.0,Flat stage
2171,Marcato Marco,8,165,UAE Team Emirates,0.0,Medium mountain stage
2172,Marcato Marco,9,88,UAE Team Emirates,0.0,High mountain stage
2173,Marcato Marco,10,27,UAE Team Emirates,0.0,Flat stage
2174,Marcato Marco,11,168,UAE Team Emirates,0.0,Flat stage
2175,Marcato Marco,12,125,UAE Team Emirates,0.0,High mountain stage
2176,Marcato Marco,13,106,UAE Team Emirates,0.0,High mountain stage
2177,Marcato Marco,14,19,UAE Team Emirates,0.0,Medium mountain stage
2178,Marcato Marco,15,64,UAE Team Emirates,0.0,Medium mountain stage
2179,Marcato Marco,16,70,UAE Team Emirates,0.0,Medium mountain stage
2180,Marcato Marco,17,116,UAE Team Emirates,0.0,High mountain stage
2181,Marcato Marco,18,108,UAE Team Emirates,0.0,High mountain stage
2182,Marcato Marco,19,110,UAE Team Emirates,0.0,Flat stage
2183,Marcato Marco,20,59,UAE Team Emirates,0.0,Individual time trial
2184,Marcato Marco,21,23,UAE Team Emirates,0.0,Flat stage
2185,Martens Paul,1,34,Team LottoNL-Jumbo,0.0,Individual time trial
2186,Martens Paul,2,54,Team LottoNL-Jumbo,0.0,Flat stage
2187,Martens Paul,3,79,Team LottoNL-Jumbo,0.0,Medium mountain stage
2188,Martens Paul,4,165,Team LottoNL-Jumbo,0.0,Flat stage
2189,Martens Paul,5,90,Team LottoNL-Jumbo,0.0,Medium mountain stage
2190,Martens Paul,6,121,Team LottoNL-Jumbo,0.0,Flat stage
2191,Martens Paul,7,141,Team LottoNL-Jumbo,0.0,Flat stage
2192,Martens Paul,8,93,Team LottoNL-Jumbo,0.0,Medium mountain stage
2193,Martens Paul,9,53,Team LottoNL-Jumbo,0.0,High mountain stage
2194,Martens Paul,10,132,Team LottoNL-Jumbo,0.0,Flat stage
2195,Martens Paul,11,148,Team LottoNL-Jumbo,0.0,Flat stage
2196,Martens Paul,12,96,Team LottoNL-Jumbo,0.0,High mountain stage
2197,Martens Paul,13,91,Team LottoNL-Jumbo,0.0,High mountain stage
2198,Martens Paul,14,15,Team LottoNL-Jumbo,1.0,Medium mountain stage
2199,Martens Paul,15,100,Team LottoNL-Jumbo,0.0,Medium mountain stage
2200,Martens Paul,16,80,Team LottoNL-Jumbo,0.0,Medium mountain stage
2201,Martens Paul,17,138,Team LottoNL-Jumbo,0.0,High mountain stage
2202,Martens Paul,18,79,Team LottoNL-Jumbo,0.0,High mountain stage
2203,Martens Paul,19,145,Team LottoNL-Jumbo,0.0,Flat stage
2204,Martens Paul,20,85,Team LottoNL-Jumbo,0.0,Individual time trial
2205,Martens Paul,21,162,Team LottoNL-Jumbo,0.0,Flat stage
2206,Martin Dan,1,57,Quick-Step Floors,0.0,Individual time trial
2207,Martin Dan,2,113,Quick-Step Floors,0.0,Flat stage
2208,Martin Dan,3,3,Quick-Step Floors,50.0,Medium mountain stage
2209,Martin Dan,4,76,Quick-Step Floors,0.0,Flat stage
2210,Martin Dan,5,2,Quick-Step Floors,70.0,Medium mountain stage
2211,Martin Dan,6,52,Quick-Step Floors,0.0,Flat stage
2212,Martin Dan,7,57,Quick-Step Floors,0.0,Flat stage
2213,Martin Dan,8,13,Quick-Step Floors,4.0,Medium mountain stage
2214,Martin Dan,9,9,Quick-Step Floors,14.0,High mountain stage
2215,Martin Dan,10,37,Quick-Step Floors,0.0,Flat stage
2216,Martin Dan,11,30,Quick-Step Floors,0.0,Flat stage
2217,Martin Dan,12,6,Quick-Step Floors,26.0,High mountain stage
2218,Martin Dan,13,6,Quick-Step Floors,26.0,High mountain stage
2219,Martin Dan,14,8,Quick-Step Floors,18.0,Medium mountain stage
2220,Martin Dan,15,25,Quick-Step Floors,0.0,Medium mountain stage
2221,Martin Dan,16,31,Quick-Step Floors,0.0,Medium mountain stage
2222,Martin Dan,17,7,Quick-Step Floors,22.0,High mountain stage
2223,Martin Dan,18,8,Quick-Step Floors,18.0,High mountain stage
2224,Martin Dan,19,68,Quick-Step Floors,0.0,Flat stage
2225,Martin Dan,20,40,Quick-Step Floors,0.0,Individual time trial
2226,Martin Dan,21,84,Quick-Step Floors,0.0,Flat stage
2227,Martin Guillaume,1,167,Wanty - Groupe Gobert,0.0,Individual time trial
